Feature ID	Taxon	Confidence
715cf32eb376c7183e6a2ef7fba649d0	Bacteria	0.9206576925751879
ed0d0a69aa54bdd338a78afe64313b91	Bacteria	0.9390716377065585
3424f6010202e1b7a240f968d2619ff6	Bacteria	0.8675910872496637
88d509f8acb640aac62d3614688b97f6	Bacteria	1.000000000000008
ae09f7c84c6131533e58a217ede3be9a	Bacteria	0.999904559425821
52ac48a3cf012fd1b987fd4cb2dfbe5c	Bacteria (environmental samples)	0.9998740689773417
d09d772fd395e42c44e33f18cd300bb5	Bacteria (environmental samples)	0.9897609485671199
4d60a683e729fb79433570cd8e672a84	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium	0.9996996636483524
6ef00bf20d7432df801dfe9c163b5af8	Bacteria	0.9888493818493832
b600aa5ff307af65e14473fa7a4f0b5d	Bacteria (environmental samples)	0.9979976056516571
fb7eae5a1a37fb157f0c36e396f384f2	Bacteria	0.9999149529536027
c54b673227734b729779e23038a1e6e7	Bacteria (environmental samples)	0.9999786378205096
14cec30a1add12f4980085328e2a05af	Bacteria	0.9965979420131237
c509b9e6975f9cb484cf0e3f0a300919	Bacteria	0.9023348997117193
5312b71cb40d0d96d37a10c8b35b5dfd	Bacteria	0.9860359994809795
9b6356d2f4bfe78475664a2b80c2a67d	Bacteria	0.9988178017311325
4f88666ecf3c5a4b91dcaa724c9dc817	Bacteria	0.97010707395033
4f68737e65fb29927c11d770acc9d4c8	Bacteria (environmental samples)	0.9983038798524362
7fe62e98f0b8e716e90ad300b0964293	Bacteria	0.9989033733753813
929c5eaa041b31f566ba0b8002bf7252	Bacteria	0.9982779096756
ec2d5af21fd4e773795ea0031e790cfa	Bacteria (environmental samples)	0.9997361093776875
2009746d0a9035526b0913a7353059ac	Bacteria	0.9877191212039464
5ce90fd8dce1047b5da5c399b7e35340	Bacteria	0.9914190261496149
14f8a98155cef2ce7d7bbed6631d1b0c	Bacteria (environmental samples)	0.9970895615699943
47c875d07d8e43ba59cc35afbd2f2e59	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	0.8421817477909753
acda3738d3dc31ad511c173f3301c121	Bacteria	0.9673843005502877
991443a124a1c8d72bcda00cc6ff38df	Bacteria	0.9999999999999988
d0dd3c8b22e90aa5a949fb88cb909ae9	Bacteria (environmental samples)	0.999986882918219
a14c6bced2439b0cba6d2c734c40bb1b	Bacteria	0.9647543908098981
4100c39f5874e92f8986b0848b1ad253	Bacteria (environmental samples)	0.9996938477217285
f59bade71d19a0bbb98285cd5ededac4	Bacteria	0.7658365332136113
83155b768aed8508e7bb48a0d1fc68da	Bacteria	0.9751609413242588
ea660eae3737011bfa16a744c8eb59c9	Bacteria	0.9940732821799307
a93791721f76370cd5a25166dbfe07f8	Bacteria (environmental samples)	0.9999657765284339
