sample-id	Sampling_ID	Location	Replicate	Depth	Sample_Type	Biomass_g_cm2	Core_BD_g_cm3	Perc_OM	CH4_Flux_umol_m2_h	CO2_Flux_umol_m2_h	N2O_Flux_umol_m2_h	CH4_conc_inf-6in_PPM	C02_conc_inf-6in_PPM	N2O_conc_inf-6in_PPM
AHC38	R2MR	Reserve	2	Middle	Rhizosphere	0.01	1.39	3.41	-0.384574732	10.29753054	0.009309801			
AHC39	R3UR	Reserve	3	Upper	Rhizosphere	0.03	1.37	3.42	-0.891543883	12.79010499	0.005699731			
AHC40	R3LR	Reserve	3	Lower	Rhizosphere	0.03	1.37	3.42	-0.891543883	12.79010499	0.005699731			
AHC41	E3MR	Experimental	3	Middle	Rhizosphere	0.08	1.22	3.54	-1.060223556	24.31056342	0.020580456	5.18494	42936.90686	103.78886
AHC42	C3LR	Control	3	Lower	Rhizosphere	0.06	1.21	4.33	-0.529060048	23.01631675	0.019726764	7.23539	46267.6654	186.2457
AHC43	E2MR	Experimental	2	Middle	Rhizosphere	0.08	1.31	5.76	-1.728417176	22.66617654	0.022210072	5.50942	57012.08824	192.72997
AHC90	R1MR	Reserve	1	Middle	Rhizosphere	0	1.36	3.63	-0.595388686	11.2412909	0.00550265			
AHC91	R1LB	Reserve	1	Lower	Bulk Soil	0	1.36	3.63	-0.595388686	11.2412909	0.00550265			
AHC92	E2UB	Experimental	2	Upper	Bulk Soil	0.08	1.31	5.76	-1.728417176	22.66617654	0.022210072	5.50942	57012.08824	192.72997
AHC93	R1LR	Reserve	1	Lower	Rhizosphere	0	1.36	3.63	-0.595388686	11.2412909	0.00550265			
AHC94	E1UR	Experimental	1	Upper	Rhizosphere	0.07	1.27	3.14	-0.746477064	22.69223075	0.018275203	4.54767	46287.01074	134.65237
AHC95	E2LR	Experimental	2	Lower	Rhizosphere	0.08	1.31	5.76	-1.728417176	22.66617654	0.022210072	5.50942	57012.08824	192.72997
AHC96	C1UR	Control	1	Upper	Rhizosphere	0.09	1.17	3.29	-0.887840013	18.03701479	0.014646957	5.24727	40080.26222	155.94477
